date,open,high,low,close,volume
20190802,944,957.98,943,954.45,3971940
20190805,945,954,940,942.43,3677431
20190806,931,948,923.8,946.3,4399116
20190807,949.5,955.53,945,945,2686998
20190808,953.5,974,952,971.68,3880813
20190809,978.5,980.95,958.99,962.03,2846170
20190812,1010.31,1020.1,995.01,1018.63,8149895
20190813,1016.16,1026,1010.68,1017.95,3032970
20190814,1030.02,1051.9,1030.02,1043.33,4141095
20190815,1028,1046.48,1028,1044.9,2723739
20190816,1049.84,1075.58,1041,1054.6,3608673
20190819,1061,1069.98,1049.05,1055.88,3286758
20190820,1055,1073.68,1050,1070,2860213
20190821,1070.1,1076.97,1061.66,1066,2506662
20190822,1072.99,1104,1070,1104,3759078
20190823,1105,1133.56,1095.62,1130.1,4019230
20190826,1113,1128,1096.68,1102.95,4849789
20190827,1117,1131.31,1109,1109,5216421
20190828,1109,1123.19,1083.01,1100.11,4700967
20190829,1105,1118.18,1092.5,1113.1,2933042
20190830,1125,1146,1123,1142,4489077
20190902,1139.99,1144.98,1129,1138.76,2823433
20190903,1140,1151.02,1128.56,1140,2948509
20190904,1140.8,1142.91,1120.11,1125.01,3360022
20190905,1129,1144.9,1128,1144,3293084
20190906,1144.5,1146.15,1131,1142.49,2617659
20190909,1145,1148,1135,1136.52,2937934
20190910,1134.3,1135,1120.01,1123.85,2622707
20190911,1119.22,1119.97,1068,1069.52,8171654
20190912,1066,1109.98,1066,1099,4121133
20190916,1083,1103.95,1083,1099,3137180
20190917,1094,1106.66,1087,1094.01,2519693
20190918,1108.5,1150,1108.18,1148.9,6931447
20190919,1148,1150,1137.1,1145,2447980
20190920,1151,1160,1147.59,1157.42,3762666
20190923,1157,1157,1131,1149,3002633
20190924,1155,1184.9,1152,1184,3626913
20190925,1180,1188.87,1170.5,1174,2402458
20190926,1174.94,1183.35,1158.81,1167,2608194
20190927,1164,1183,1153,1174.75,2282661
20190930,1163,1169.43,1150,1150,3082514
20191008,1153,1180,1152.01,1167.1,3104527
20191009,1166.2,1166.2,1135.05,1146.81,3578857
20191010,1127,1158.93,1109.02,1155,4117370
20191011,1157,1175,1152.21,1174.6,2868925
20191014,1186,1187.66,1170,1180,2718751
20191015,1180,1215.68,1177.03,1211,4003473
20191016,1168,1187.5,1160,1170,5915059
20191017,1176,1186.66,1162.5,1183.33,3050870
20191018,1179,1189.99,1171.69,1175.79,2829161
20191021,1171.86,1178.9,1163.3,1168.5,2527467
20191022,1178,1181.5,1163.89,1170.8,1930943
20191023,1168,1178,1156.11,1158.91,2308021
20191024,1164.95,1166,1147.16,1150.27,2617844
20191025,1153.3,1172.5,1143.03,1171.35,2599845
20191028,1166.01,1181.01,1165,1178.29,2248599
20191029,1181.11,1199.96,1177.77,1193,2780371
20191030,1190,1192.7,1176,1183.8,2125475
20191031,1196,1198,1176.15,1180.01,2590927
20191101,1181,1191.95,1172.5,1185,2281196
20191104,1190,1209.99,1189,1199.59,2673798
20191105,1199.5,1205,1192,1199,2225472
20191106,1197,1204,1188.88,1193,1973751
20191107,1196.51,1201.88,1189,1201.37,1616788
20191108,1205,1215.65,1201.51,1205,2451211
20191111,1201.5,1206.2,1193.51,1199,1734246
20191112,1204,1209.6,1198.21,1201.6,1915055
20191113,1207,1227.8,1200,1224,3197704
20191114,1227,1240,1222,1230,2352112
20191115,1230,1232.91,1221.5,1224.9,1634072
20191118,1225.12,1229.45,1218,1227.28,1803766
20191119,1228,1241.61,1225.02,1232.32,2062375
20191120,1230,1239.51,1228.06,1233.75,1528053
20191121,1231,1235.51,1221.06,1231.3,1918739
20191122,1223,1229,1185,1194,4705428
20191125,1188.05,1194,1172.06,1182.06,3828175
20191126,1186.68,1198.6,1183,1185,4023961
20191127,1192.8,1196.62,1184.51,1189.95,1984881
